,Longitude,Latitude,Annual Average
0,-179.75,71.25,7.125
1,-179.75,68.75,21.366666666666664
2,-179.75,68.25,22.416666666666668
3,-179.75,67.75,26.84166666666667
4,-179.75,67.25,32.10833333333333
5,-179.75,66.75,34.266666666666666
6,-179.75,66.25,34.758333333333326
7,-179.75,65.75,33.4
8,-179.75,65.25,36.39166666666667
9,-179.75,-16.75,270.2250000000001
10,-179.75,-84.75,12.133333333333333
11,-179.75,-85.25,8.825000000000001
12,-179.75,-85.75,6.533333333333334
13,-179.75,-86.25,4.833333333333333
14,-179.75,-86.75,3.475
15,-179.75,-87.25,2.425
16,-179.75,-87.75,1.625
17,-179.75,-88.25,1.05
18,-179.75,-88.75,0.6000000000000001
19,-179.75,-89.25,0.2916666666666667
20,-179.75,-89.75,0.10833333333333334
21,-179.25,71.25,7.158333333333334
22,-179.25,68.75,21.116666666666667
23,-179.25,68.25,22.541666666666668
24,-179.25,67.75,27.291666666666668
25,-179.25,67.25,33.366666666666674
26,-179.25,66.75,35.65833333333333
27,-179.25,-84.75,12.200000000000001
28,-179.25,-85.25,8.833333333333334
29,-179.25,-85.75,6.541666666666667
30,-179.25,-86.25,4.833333333333333
31,-179.25,-86.75,3.4583333333333335
32,-179.25,-87.25,2.425
33,-179.25,-87.75,1.6333333333333335
34,-179.25,-88.25,1.05
35,-179.25,-88.75,0.6166666666666667
36,-179.25,-89.25,0.2916666666666667
37,-179.25,-89.75,0.10833333333333334
38,-178.75,71.25,6.808333333333333
39,-178.75,68.25,22.666666666666668
40,-178.75,67.75,27.399999999999995
41,-178.75,67.25,33.40833333333334
42,-178.75,66.75,36.05
43,-178.75,66.25,37.31666666666666
44,-178.75,-84.75,12.216666666666667
45,-178.75,-85.25,8.725000000000001
46,-178.75,-85.75,6.533333333333334
47,-178.75,-86.25,4.833333333333333
48,-178.75,-86.75,3.4583333333333335
49,-178.75,-87.25,2.425
50,-178.75,-87.75,1.6333333333333335
51,-178.75,-88.25,1.0583333333333333
52,-178.75,-88.75,0.6083333333333334
53,-178.75,-89.25,0.2916666666666667
54,-178.75,-89.75,0.10833333333333334
55,-178.25,71.25,6.508333333333333
56,-178.25,68.25,22.78333333333333
57,-178.25,67.75,27.425
58,-178.25,67.25,32.68333333333333
59,-178.25,66.75,35.74166666666667
60,-178.25,66.25,36.4
61,-178.25,65.75,35.325
62,-178.25,-84.75,12.25
63,-178.25,-85.25,8.791666666666666
64,-178.25,-85.75,6.458333333333333
65,-178.25,-86.25,4.791666666666667
66,-178.25,-86.75,3.466666666666667
67,-178.25,-87.25,2.425
68,-178.25,-87.75,1.6333333333333335
69,-178.25,-88.25,1.0583333333333333
70,-178.25,-88.75,0.6083333333333334
71,-178.25,-89.25,0.2916666666666667
72,-178.25,-89.75,0.11666666666666665
73,-177.75,71.25,6.425
74,-177.75,68.25,22.916666666666668
75,-177.75,67.75,27.08333333333333
76,-177.75,67.25,32.13333333333333
77,-177.75,66.75,35.18333333333333
78,-177.75,66.25,35.86666666666667
79,-177.75,65.75,36.041666666666664
80,-177.75,-84.75,12.266666666666667
81,-177.75,-85.25,8.833333333333334
82,-177.75,-85.75,6.491666666666667
83,-177.75,-86.25,4.816666666666666
84,-177.75,-86.75,3.4500000000000006
85,-177.75,-87.25,2.4166666666666665
86,-177.75,-87.75,1.6749999999999998
87,-177.75,-88.25,1.0666666666666667
88,-177.75,-88.75,0.6083333333333334
89,-177.75,-89.25,0.2916666666666667
90,-177.75,-89.75,0.11666666666666665
91,-177.25,67.75,26.841666666666665
92,-177.25,67.25,31.26666666666667
93,-177.25,66.75,34.70833333333333
94,-177.25,66.25,35.61666666666667
95,-177.25,65.75,37.00833333333333
96,-177.25,51.75,99.44166666666666
97,-177.25,-84.75,12.283333333333333
98,-177.25,-85.25,8.883333333333335
99,-177.25,-85.75,6.508333333333334
100,-177.25,-86.25,4.808333333333334
101,-177.25,-86.75,3.4583333333333335
102,-177.25,-87.25,2.4166666666666665
103,-177.25,-87.75,1.6749999999999998
104,-177.25,-88.25,1.075
105,-177.25,-88.75,0.6083333333333334
106,-177.25,-89.25,0.2916666666666667
107,-177.25,-89.75,0.11666666666666665
108,-176.75,67.75,26.174999999999997
109,-176.75,67.25,30.549999999999997
110,-176.75,66.75,33.50833333333333
111,-176.75,66.25,35.291666666666664
112,-176.75,65.75,38.2
113,-176.75,51.75,111.39999999999999
114,-176.75,-84.75,12.299999999999999
115,-176.75,-85.25,9.091666666666667
116,-176.75,-85.75,6.508333333333334
117,-176.75,-86.25,4.791666666666667
118,-176.75,-86.75,3.4916666666666667
119,-176.75,-87.25,2.425
120,-176.75,-87.75,1.6333333333333335
121,-176.75,-88.25,1.0666666666666667
122,-176.75,-88.75,0.6083333333333334
123,-176.75,-89.25,0.2916666666666667
124,-176.75,-89.75,0.11666666666666665
125,-176.25,67.75,25.575000000000003
126,-176.25,67.25,29.08333333333333
127,-176.25,66.75,32.041666666666664
128,-176.25,66.25,34.800000000000004
129,-176.25,65.75,39.41666666666666
130,-176.25,-43.75,71.54166666666666
131,-176.25,-44.25,85.15833333333333
132,-176.25,-84.75,12.308333333333332
133,-176.25,-85.25,8.95
134,-176.25,-85.75,6.575
135,-176.25,-86.25,4.866666666666666
136,-176.25,-86.75,3.516666666666667
137,-176.25,-87.25,2.4166666666666665
138,-176.25,-87.75,1.6416666666666666
139,-176.25,-88.25,1.0666666666666667
140,-176.25,-88.75,0.6083333333333334
141,-176.25,-89.25,0.2916666666666667
142,-176.25,-89.75,0.11666666666666665
143,-175.75,67.75,24.64166666666667
144,-175.75,67.25,27.733333333333334
145,-175.75,66.75,30.66666666666667
146,-175.75,66.25,33.98333333333333
147,-175.75,65.75,40.03333333333334
148,-175.75,65.25,46.51666666666667
149,-175.75,-84.75,12.316666666666665
150,-175.75,-85.25,9.049999999999999
151,-175.75,-85.75,6.6000000000000005
152,-175.75,-86.25,4.883333333333334
153,-175.75,-86.75,3.5333333333333328
154,-175.75,-87.25,2.425
155,-175.75,-87.75,1.6499999999999997
156,-175.75,-88.25,1.0666666666666667
157,-175.75,-88.75,0.6166666666666667
158,-175.75,-89.25,0.2833333333333333
159,-175.75,-89.75,0.11666666666666665
160,-175.25,67.25,26.14166666666667
161,-175.25,66.75,28.533333333333335
162,-175.25,66.25,32.516666666666666
163,-175.25,65.75,39.88333333333333
164,-175.25,65.25,45.800000000000004
165,-175.25,-84.75,12.541666666666666
166,-175.25,-85.25,9.133333333333335
167,-175.25,-85.75,6.649999999999999
168,-175.25,-86.25,4.925
169,-175.25,-86.75,3.5333333333333328
170,-175.25,-87.25,2.4416666666666664
171,-175.25,-87.75,1.6666666666666667
172,-175.25,-88.25,1.0666666666666667
173,-175.25,-88.75,0.6166666666666667
174,-175.25,-89.25,0.2833333333333333
175,-175.25,-89.75,0.11666666666666665
176,-174.75,67.25,24.066666666666666
177,-174.75,66.25,30.61666666666667
178,-174.75,65.75,39.208333333333336
179,-174.75,65.25,45.38333333333333
180,-174.75,-84.75,12.525
181,-174.75,-85.25,9.208333333333332
182,-174.75,-85.75,6.649999999999999
183,-174.75,-86.25,4.908333333333334
184,-174.75,-86.75,3.5333333333333328
185,-174.75,-87.25,2.4416666666666664
186,-174.75,-87.75,1.6666666666666667
187,-174.75,-88.25,1.05
188,-174.75,-88.75,0.6083333333333334
189,-174.75,-89.25,0.2833333333333333
190,-174.75,-89.75,0.11666666666666665
