,Longitude,Latitude,Annual Average
0,-179.75,71.25,9.216666666666667
1,-179.75,68.75,21.041666666666664
2,-179.75,68.25,22.108333333333334
3,-179.75,67.75,26.775000000000006
4,-179.75,67.25,32.325
5,-179.75,66.75,34.80833333333333
6,-179.75,66.25,36.15833333333334
7,-179.75,65.75,34.59166666666667
8,-179.75,65.25,36.64166666666667
9,-179.75,-16.75,242.0416666666667
10,-179.75,-84.75,11.6
11,-179.75,-85.25,8.283333333333333
12,-179.75,-85.75,5.958333333333333
13,-179.75,-86.25,4.2749999999999995
14,-179.75,-86.75,2.933333333333333
15,-179.75,-87.25,1.9583333333333333
16,-179.75,-87.75,1.2083333333333335
17,-179.75,-88.25,0.7166666666666667
18,-179.75,-88.75,0.34166666666666673
19,-179.75,-89.25,0.15833333333333333
20,-179.75,-89.75,0.08333333333333333
21,-179.25,71.25,9.25
22,-179.25,68.75,19.724999999999998
23,-179.25,68.25,22.075
24,-179.25,67.75,27.216666666666665
25,-179.25,67.25,33.49166666666667
26,-179.25,66.75,35.916666666666664
27,-179.25,-84.75,11.658333333333333
28,-179.25,-85.25,8.266666666666667
29,-179.25,-85.75,5.958333333333333
30,-179.25,-86.25,4.266666666666667
31,-179.25,-86.75,2.933333333333333
32,-179.25,-87.25,1.9583333333333333
33,-179.25,-87.75,1.2083333333333335
34,-179.25,-88.25,0.7166666666666667
35,-179.25,-88.75,0.35833333333333334
36,-179.25,-89.25,0.15833333333333333
37,-179.25,-89.75,0.08333333333333333
38,-178.75,71.25,9.041666666666666
39,-178.75,68.25,22.099999999999998
40,-178.75,67.75,27.416666666666668
41,-178.75,67.25,33.50833333333334
42,-178.75,66.75,36.12499999999999
43,-178.75,66.25,37.74999999999999
44,-178.75,-84.75,11.674999999999999
45,-178.75,-85.25,8.166666666666666
46,-178.75,-85.75,5.958333333333333
47,-178.75,-86.25,4.258333333333333
48,-178.75,-86.75,2.908333333333333
49,-178.75,-87.25,1.9500000000000002
50,-178.75,-87.75,1.2083333333333335
51,-178.75,-88.25,0.7166666666666667
52,-178.75,-88.75,0.3499999999999999
53,-178.75,-89.25,0.15833333333333333
