,Longitude,Latitude,Annual Average
0,-179.75,71.25,4.383333333333334
1,-179.75,68.75,17.98333333333333
2,-179.75,68.25,19.316666666666666
3,-179.75,67.75,24.516666666666666
4,-179.75,67.25,31.400000000000002
5,-179.75,66.75,35.858333333333334
6,-179.75,66.25,37.80833333333333
7,-179.75,65.75,32.55833333333334
8,-179.75,65.25,30.791666666666668
9,-179.75,-16.75,224.35833333333332
10,-179.75,-84.75,10.208333333333334
11,-179.75,-85.25,6.975000000000001
12,-179.75,-85.75,4.916666666666667
13,-179.75,-86.25,3.5
14,-179.75,-86.75,2.4250000000000003
15,-179.75,-87.25,1.6333333333333335
16,-179.75,-87.75,1.05
17,-179.75,-88.25,0.65
18,-179.75,-88.75,0.325
19,-179.75,-89.25,0.15
20,-179.75,-89.75,0.024999999999999998
21,-179.25,71.25,4.499999999999999
22,-179.25,68.75,17.4
23,-179.25,68.25,19.39166666666667
24,-179.25,67.75,25.024999999999995
25,-179.25,67.25,32.80833333333333
26,-179.25,66.75,37.39166666666666
27,-179.25,-84.75,10.25
28,-179.25,-85.25,6.983333333333333
29,-179.25,-85.75,4.916666666666667
30,-179.25,-86.25,3.483333333333333
31,-179.25,-86.75,2.4250000000000003
32,-179.25,-87.25,1.6333333333333335
33,-179.25,-87.75,1.05
34,-179.25,-88.25,0.65
35,-179.25,-88.75,0.3333333333333333
36,-179.25,-89.25,0.15
37,-179.25,-89.75,0.024999999999999998
38,-178.75,71.25,4.275
39,-178.75,68.25,19.541666666666668
40,-178.75,67.75,25.241666666666664
41,-178.75,67.25,32.891666666666666
42,-178.75,66.75,37.575
43,-178.75,66.25,39.01666666666667
44,-178.75,-84.75,10.283333333333333
45,-178.75,-85.25,6.875
46,-178.75,-85.75,4.908333333333333
47,-178.75,-86.25,3.483333333333333
48,-178.75,-86.75,2.4166666666666665
49,-178.75,-87.25,1.6333333333333335
50,-178.75,-87.75,1.05
51,-178.75,-88.25,0.65
52,-178.75,-88.75,0.3333333333333333
53,-178.75,-89.25,0.15
54,-178.75,-89.75,0.024999999999999998
55,-178.25,71.25,3.9583333333333326
56,-178.25,68.25,19.708333333333332
57,-178.25,67.75,25.34166666666667
58,-178.25,67.25,32.13333333333333
59,-178.25,66.75,36.85833333333333
60,-178.25,66.25,37.73333333333334
61,-178.25,65.75,34.916666666666664
62,-178.25,-84.75,10.391666666666667
63,-178.25,-85.25,6.933333333333334
64,-178.25,-85.75,4.841666666666667
65,-178.25,-86.25,3.4500000000000006
66,-178.25,-86.75,2.4250000000000003
67,-178.25,-87.25,1.625
68,-178.25,-87.75,1.05
69,-178.25,-88.25,0.65
70,-178.25,-88.75,0.3333333333333333
71,-178.25,-89.25,0.15
72,-178.25,-89.75,0.024999999999999998
73,-177.75,71.25,4.0
74,-177.75,68.25,19.95
